doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
왜 그 사람 뺨을 때렸습니까?	2	2	2	2	2	2	2	2	2	2
내가 폭력은 좋지 않다고 했잖아요.	2	2	2	2	2	2	2	2	2	2
이것보세요!	2	2	2	2	2	2	1	2	0	2
뭔가 오해하고 있는 것 같은데요.	2	2	2	2	2	2	1	2	0	2
그 사람 잘못을 눈감아 주면 안됩니다.	2	2	2	2	2	2	2	2	2	2
뭐요?	2	2	2	2	2	2	1	2	0	2
어처구니가 없군요!!	2	2	2	2	2	2	1	2	0	2
당신이 뭐라도 되는 줄 아세요?	2	2	2	2	2	2	1	2	0	2
언젠가 당신은 대가를 치를 겁니다.	2	2	2	2	2	2	1	2	0	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
우리 언니랑 형부랑 아기 가졌대.	2	2	2	2	2	2	2	2	2	2
잘됐다!	2	2	2	2	2	2	2	2	2	2
겨우 네 달전에 결혼했자나.	2	2	2	2	2	2	2	2	2	2
맞아.	2	2	2	2	2	2	2	2	2	2
둘 다 아이를 되도록 빨리 갖고 싶어했는데.	2	2	2	2	2	2	2	2	2	2
내가 축하한다고 전해줘.	2	2	2	2	0	2	0	2	2	2
정말 잘됐다.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
어이 할, 어제 야구 경기 봤어?	2	2	2	2	2	2	2	2	2	2
아니.	2	2	2	2	2	2	2	2	2	2
일하고 있었어.	2	2	2	2	2	2	2	2	2	2
좋은 경기를 놓쳤네.	2	2	2	2	2	2	2	2	2	2
엄청났는데.	2	2	2	2	2	2	2	2	2	2
듣고 싶긴 한데 내가 지금 가봐야 돼.	2	2	0	2	2	2	2	2	2	2
왜 그렇게 바빠?	2	2	2	2	2	2	2	2	2	2
내일 출장가는데 준비할 게 많아.	2	2	0	2	2	2	2	2	2	2
맞다.	2	2	2	2	2	2	2	2	2	2
내가 잊어버렸네.	2	2	2	2	2	2	2	2	2	2
할 일이 얼마나 많아?	2	2	2	2	2	2	2	2	2	2
저녁 먹기 전까지 마무리 하려고.	2	2	0	2	2	2	2	2	2	2
내가 도울 일은 없어?	2	2	2	2	0	2	0	2	2	2
물어봐줘서 고마운데 괜찮아.	2	2	2	2	2	2	2	2	2	2
자네 언제 돌아오는 거야?	2	2	2	2	2	2	2	2	2	2
열흘 후에.	2	2	2	2	2	2	2	2	2	2
그럼 그 때 볼게.	2	2	2	2	2	2	2	2	2	2
잘 다녀 와.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
너 다르게 보인다.	2	2	2	2	2	2	2	2	2	2
그 블라우스 새로 산 거야?	0	2	2	2	2	2	2	2	2	2
아니.	2	2	2	2	2	2	2	2	2	2
멋있다 얘.	2	2	2	2	2	2	2	2	2	2
말로만 그래.	2	2	2	2	2	2	2	2	2	2
아니 진짜야.	2	2	2	2	2	2	2	2	2	2
너한테 잘 어울려.	2	2	2	2	2	2	2	0	2	2
그랬으면 좋겠다.	2	2	2	2	2	2	2	2	2	2
남자 직원이 새로 왔는데 관심을 좀 끌고 싶거든.	2	2	2	2	0	2	2	2	2	2
관심 끄는 건 문제 없겠는데.	2	2	2	2	2	2	2	2	2	2
예쁜 옷도 좀 샀지.	2	2	2	2	2	2	2	2	2	2
특별한 사람인가 보네.	2	2	2	2	2	2	2	2	2	2
네가 애를 쓰는 걸 보니.	2	2	2	2	2	2	2	2	2	2
내 생각엔 그래.	2	2	2	2	2	2	2	2	2	2
어떻게 진행되는 지 너한테 알려줄게.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
승진한다며?	2	2	2	2	2	2	2	2	2	2
축하해!	2	2	2	2	2	2	0	2	2	2
고마워.	2	2	2	2	2	2	2	2	2	2
나도 오늘 아침에 매니저한테 들은 소식이야.	2	2	2	2	2	2	2	2	2	2
다음 매니저 되면 나 좀 잘 부탁해.	2	2	2	2	0	2	2	2	2	2
하하, 왜 이러셔	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
멜리사 컴퓨터 다 썼어?	2	2	2	2	2	2	2	2	2	2
아니 아직.	2	2	2	2	2	2	2	2	2	2
지금 써야 돼?	2	2	2	2	2	2	2	2	2	2
아니 괜찮아.	2	2	2	2	2	2	2	2	2	2
서두를 것 없어.	2	2	2	2	2	2	2	2	2	2
20분 후면 다 될 거야.	2	2	2	2	2	2	2	2	2	2
난 그냥 이메일 점검하려던 건데 나중에 해도 돼.	2	2	2	2	2	2	2	2	2	2
언니 오늘 저녁에 뭐해?	0	2	2	2	2	2	2	2	2	2
영화보러 나갈까 했는데 대신 집에서 대여해서 볼까 해.	2	2	2	2	2	2	2	2	2	2
무슨 영화를 빌릴 건데?	2	2	2	2	2	2	2	2	2	2
글쎄 코미디가 보고 싶어.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
누가 그런 소릴 해?	2	2	2	2	2	2	2	2	2	2
아니..학교 애 하나가 두분이 극장에서 나오는 걸 봤다고..	2	2	2	2	2	2	2	2	2	2
그 교감이랑 나랑 소문 그거 아니다 그랬지 내가?	2	2	2	2	2	2	2	2	2	2
예.	2	2	2	2	2	2	2	2	2	2
너도 아닌거 알지?	2	2	2	2	2	2	2	2	2	2
예 뭐,.	2	2	2	2	2	2	2	2	2	2
그러면 그런 소문 듣고 어떻게 해야 되겠어?	2	2	2	2	2	2	2	2	2	2
그런거 아니라고 니가 얘기 해 줘야 되겠어 안되겠어?	2	2	2	2	2	2	2	2	2	2
해줘야 됩니다..	2	2	2	2	2	2	2	2	2	2
그래서 그렇게 했어?	2	2	2	2	2	2	2	2	2	2
예.	2	2	2	2	2	2	2	2	2	2
아닐거라고 그랬습니다	2	2	2	2	2	2	2	2	2	2
아닐거라고가 아니라 아니라고 해야지!	2	2	2	2	2	2	2	2	2	2
예.	2	2	2	2	2	2	2	2	2	2
그러겠습니다	2	2	2	2	2	2	2	2	2	2
그리고 혹시나 해서 그러는데 지금 현경이 신경 바짝 곤두서있는거 알지?	2	2	2	2	2	2	2	2	2	2
예.	2	2	2	2	2	2	2	2	2	2
압니다	2	2	2	2	2	2	2	2	2	2
그럼 그런 소문 현경이한테 또 얘기하고 그러면 좋겠어 안 좋겠어?	2	2	2	2	2	2	2	2	2	2
안 좋겠습니다.	2	2	2	2	2	2	2	2	2	2
안 좋겠지?	2	2	2	2	2	2	2	2	2	2
그럼 그런 얘기 앞으로 괜히 입 밖에 꺼내고 그럼 되겠어 안되겠어?	2	2	2	2	2	2	2	2	2	2
안되겠습니다.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
목걸이 새로 샀네?!	2	2	2	2	2	2	2	2	2	2
멋있다.	2	2	2	2	2	2	2	2	2	2
고마워!	2	2	2	2	2	2	2	2	2	2
내가 나 자신에게 주는 선물이야.	2	2	2	2	0	2	2	2	2	2
네가 직접 원하는 걸 고를 수 있으니까 나쁠 거 없지.	2	2	2	2	2	2	2	2	2	2
그것 뿐 아니야.	2	2	2	2	2	2	2	2	2	2
난 열심히 일했으니까 상을 받을만하다고.	2	2	2	2	0	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
와!	2	2	2	2	2	2	2	2	2	2
켈리가 만든 이 멋진 음식들 좀 봐!	2	2	2	2	0	2	2	2	2	2
그래.	2	2	2	2	2	2	2	2	2	2
켈리가 이번 파티를 위해 심혈을 기울였네.	2	2	2	2	2	2	2	2	2	2
속을 채운 버섯 전 좀 먹어봐.	2	2	2	2	2	2	2	2	2	2
정말 맛있어.	2	2	2	2	2	2	2	2	2	2
정말 맛있네.	2	2	2	2	2	2	2	2	2	2
그리고 저기 게 살 딥도 너무 맛있어.	2	2	2	2	2	2	2	2	2	2
켈리가 여는 파티는 항상 대단해.	2	2	2	2	2	2	2	2	2	2
파티에 정성을 쏟잖아.	2	2	2	2	2	2	2	2	2	2
우리도 조만간 집에서 파티를 열어야지.	2	2	2	2	2	2	2	2	2	2
집안 장식을 끝내면 곧바로 해야지.	2	2	2	2	2	2	2	2	2	2
나도 여기 있는 것 같은 버섯 전을 만들고 싶어.	2	2	2	2	2	2	2	2	2	2
켈리에게 물어봐.	2	2	2	2	2	2	2	2	2	2
분명 조리법을 알려줄 거야.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
이 명단 중에서 선택해야 돼.	2	2	2	2	2	2	2	2	2	2
좋은 사람을 찾을 수 있어야 하는데.	2	2	2	2	2	2	2	2	2	2
내 생각엔 수잔이 우리를 가장 잘 도와줄 수 있을 거야.	2	2	2	2	2	2	2	2	2	2
그녀는 모든 분야에서 뛰어나거든.	2	2	2	2	2	2	2	2	2	2
맞아, 하지만 그녀는 다른 사람들과 같이 잘 지내지 못하잖아.	2	2	2	2	2	2	2	2	2	2
맞아.	2	2	2	2	2	2	2	2	2	2
우리는 이 프로젝트의 모든 과정에서 일해줄 사람이 필요해.	2	2	2	2	2	2	2	2	2	2
너가 선택한 사람은 누구야?	2	2	2	2	2	2	2	2	2	2
내 생각엔 자넷이 가장 좋을 것 같아.	2	2	2	2	2	2	0	2	2	2
나도 동의해.	2	2	2	2	2	2	0	0	2	2
그리고 그녀는 누구와도 잘 어울려.	2	2	2	2	2	2	0	0	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
안녕, 샐리!	2	2	2	2	2	2	2	2	2	2
어머 안녕, 캐롤!	2	2	2	2	0	2	2	2	2	2
오렌지 주스를 사재는거야?	2	2	2	2	2	2	2	2	2	2
그래.	2	2	2	2	2	2	2	2	2	2
우리 애들이 좋아해.	2	2	2	2	2	2	2	2	2	2
아침 시리얼도 세일하는데.	2	2	2	2	2	2	2	2	2	2
나도 알아.	2	2	2	2	2	2	2	2	2	2
다음에 그거 사러 갈려고.	2	2	2	2	2	2	2	2	2	2
샐리, 다음주 토요일에 바비큐할거야.	2	2	2	2	2	2	2	2	2	2
꼭 와줘.	2	2	2	2	2	2	2	2	2	2
진짜?	2	2	2	2	2	2	2	2	2	2
좋지.	2	2	2	2	2	2	2	2	2	2
그럴게.	2	2	2	2	2	2	2	2	2	2
내 남동생이 자기의 비밀 조리법으로 갈비를 구울 거야.	2	2	2	2	2	2	2	2	2	2
나 갈비 좋아하는데.	0	2	2	2	2	2	2	2	2	2
너무 기다려지는데.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
멕시코와 미국과의 경기를 말하는거야?	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
아니, 못봤어.	2	2	2	2	2	2	2	2	2	2
그런데 멕시코가 2대 1로 이겼다는 거 신문에서 봤어.	2	2	2	2	2	2	2	2	2	2
맞아.	2	2	2	2	2	2	2	2	2	2
멕시코 팬들이 모두 흥분했어.	2	2	2	2	2	2	2	2	2	2
당연하지.	2	2	2	2	2	2	2	2	2	2
다들 신났을걸.	2	2	2	2	2	2	2	2	2	2
사람들이 길거리에서 춤도 췄어.	2	2	2	2	2	2	2	2	2	2
축구 좋아해?	2	2	2	2	2	2	2	2	2	2
아니.	2	2	2	2	2	2	2	2	2	2
난 축구에 관심이 없어.	2	2	2	2	2	2	2	2	2	2
나도 그래.	2	2	2	2	2	2	2	2	2	2
난 농구와 야구를 좋아해.	2	2	2	2	2	2	2	2	2	2
나도 그래.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
우리 서로 의견이 안 맞는 건가?	2	2	2	2	2	2	2	2	2	2
너한테 뭐라고 하는 게 아니라, 네 아이디어가 잘못됐다는 거지.	2	2	2	2	1	2	2	2	2	2
둘 중에 어느 게 됐든, 난 기분이 안 좋네.	2	2	2	2	2	2	1	2	0	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
섭섭한데 노래방이나 들렀다 갈까?	0	2	2	2	2	2	2	2	2	2
노래방은 무슨..	2	2	2	2	2	2	2	2	2	2
왜 가수가 둘이나 여기 있는데 아깝잖아~ 아마추어 가수왕!	0	2	2	2	0	2	0	2	2	2
전문 CM송 가수!	2	2	2	2	0	2	0	2	2	2
안 갈래?	2	2	2	2	2	2	2	2	2	2
가요!	2	2	2	2	2	2	2	2	2	2
좋아요!	2	2	2	2	0	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
트렌트 우리가 새로 맡은 프로젝트 얘기 들었나?	2	2	2	2	2	2	2	2	2	2
듣긴 들었습니다.	2	2	2	2	2	2	2	2	2	2
그럼 자네한테 프로젝트를 맡길 거니까 앞으로 더 많이 알게 될 거야.	2	2	2	2	2	2	2	2	2	2
책임이 막중하네요.	2	2	2	2	2	2	2	2	2	2
그렇긴 하지만 자네가 잘 해낼 것이라고 믿네.	2	2	2	2	2	2	0	0	2	2
절 믿어주시니 감사합니다.	2	2	2	2	2	2	2	2	2	2
자네가 스스로 쌓은 거야.	2	2	2	2	2	2	0	2	2	2
제 사무실 인력이 모두 동원할 수 있나요?	2	2	2	2	2	2	2	2	2	2
물론이지.	2	2	2	2	2	2	2	2	2	2
필요한 모든 협력을 받으라고.	2	2	2	2	2	2	2	2	2	2
언제라도 시작하겠습니다.	2	2	0	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
경찰이 어젯밤에 신고받고 옆집에 출동했어.	2	2	2	2	2	2	2	2	2	2
너 좀 험악한 동네에 사는 것 같다.	2	2	2	2	2	2	2	2	2	2
응 우리 동네 맨날 무슨 큰 일이 생겨.	2	2	2	2	2	2	2	2	2	2
그런 곳에서 멀리해.	2	2	2	2	2	2	0	2	2	2
그런 건 정말 필요치 않다구.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
여보세요.	2	2	2	2	2	2	2	2	2	2
앤디 있어요?	2	2	2	2	2	2	2	2	2	2
네, 전데요.	2	2	2	2	2	2	2	2	2	2
오늘 계획이 어떻게 되세요?	2	2	2	2	2	2	2	2	2	2
그냥 TV를 볼 것 같은데요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
안녕 스티브, 부탁한 서류는 가져왔니?	2	2	2	2	2	2	2	2	2	2
무슨 서류?	2	2	2	2	2	2	2	2	2	2
무슨 말인지 모르겠는데.	2	2	2	2	2	2	2	2	2	2
내가 지난 번에 뭐라고 했는지 못 알아들었니?	2	2	2	2	2	2	2	2	2	2
우리 새 사업자금에 대한 서류를 가져 오랬잖아.	2	2	2	2	2	2	2	2	2	2
아!	2	2	2	2	2	2	2	2	2	2
그거!	2	2	2	2	2	2	2	2	2	2
미안해.	2	2	2	2	2	2	2	2	2	2
깜빡 했나 봐.	2	2	2	2	2	2	2	2	2	2
솔직히, 스티브, 이해가 안 간다.	2	2	2	2	2	2	1	2	2	2
그 서류 가져오라고 수없이 말했잖아.	2	2	2	2	2	2	1	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
그래 3주만 있으면 졸업하는구나.	2	2	2	2	2	2	2	2	2	2
예.	2	2	2	2	2	2	2	2	2	2
시간 참 빠르구나.	2	2	2	2	2	2	2	2	2	2
정말 그렇네.	2	2	2	2	2	2	2	2	2	2
학교 들어간 게 엊그제 같은데.	2	2	2	2	2	2	2	2	2	2
저도 이제 대학에 가요.	2	2	2	2	2	2	2	2	2	2
우선 졸업 축하부터 하자.	2	2	2	2	2	2	2	2	2	2
저녁 사주마.	2	2	2	2	2	2	2	2	2	2
어디로 갈 거예요?	2	2	2	2	2	2	2	2	2	2
네가 정해라.	2	2	2	2	2	2	0	2	2	2
네가 가자는 데로 가마.	2	2	2	2	2	2	0	2	2	2
맞아.	2	2	2	2	2	2	2	2	2	2
너한테 선택권을 주마.	2	2	2	2	2	2	0	2	2	2
졸업하니 좋네요!	2	2	2	2	0	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
오늘은 네가 이겼다.	2	2	2	2	2	2	2	2	2	2
앞으로 더 자주 말할 것 같은데.	2	2	2	2	2	2	2	2	2	2
너 골프 실력이 정말 늘었어.	2	2	2	2	0	2	0	2	2	2
경기도 자주 하고 골프 연습장에서 공 치는 연습도 많이 했거든.	2	2	2	2	2	2	2	2	2	2
계속 연습하면 게임 때마다 나를 이길 거야.	2	2	2	2	2	2	2	2	2	2
게임 또 언제 할까?	2	2	2	2	2	2	2	2	2	2
난 다음주 수요일이 괜찮아.	2	2	2	2	2	2	2	2	2	2
나도.	2	2	2	2	2	2	0	2	2	2
골프 시작 시간 예약은 내가 할게.	2	2	2	2	2	2	2	2	2	2
잘됐다.	2	2	2	2	2	2	2	2	2	2
난 오후 일찍 하면 좋아.	2	2	2	2	2	2	2	2	2	2
문제 없어.	2	2	2	2	2	2	2	2	2	2
시작 시간 정해지면 전화할게.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
손톱 좀 보자.	2	2	2	2	2	2	2	2	2	2
우와!	2	2	2	2	2	2	2	2	2	2
손톱에다가 네일 아트 했구나.	2	2	2	2	2	2	2	2	2	2
정말 굉장하지 않니?	2	2	2	2	0	2	2	2	2	2
네일아트는 내 취미기도 해.	2	2	2	2	2	2	2	2	2	2
쉽진않지만 알려줄게.	2	2	2	2	2	2	2	2	2	2
그렇게 하기에 네가 얼마나 많은 시간을 투자했는지 알겠다.	2	2	2	2	2	2	2	2	2	2
맞아.	2	2	2	2	2	2	2	2	2	2
만일 내가 신중한 성격이었다면 일주일도 채 안 걸렸을 거야.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
주몽 하는데 틀어봐.	2	2	2	2	2	2	2	2	2	2
주몽을 하는 MBS 틀겠습니다.	2	2	2	2	2	2	2	2	2	2
주몽은 언제 하나?	2	2	2	2	2	2	2	2	2	2
주몽은 오후 10시에 시작합니다.	2	2	2	2	2	2	2	2	2	2
소리 좀 크게 해 봐	2	2	2	2	2	2	2	2	2	2
소리를 크게 하겠습니다.	2	2	2	2	2	2	2	2	2	2
이 정도면 됐습니까?	2	2	2	2	2	2	2	2	2	2
그래	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
업무가 얼마나 남은 건가요?	2	2	2	2	2	2	2	2	2	2
이 업무를 오늘 밤 안에 끝낼 수 있을지 모르겠네요.	2	2	2	2	2	2	2	2	2	2
음. 벌써 9시에요.	2	2	2	2	2	2	2	2	2	2
맞아요.	2	2	2	2	2	2	2	2	2	2
우리 오늘은 이만하고 내일 마무리 하도록 합시다.	2	2	2	2	0	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
너랑 얘기하는 것도 참 오랜만이다.	2	2	2	2	2	2	2	2	2	2
직장은 어때?	2	2	2	2	2	2	2	2	2	2
어제까지는 아주 좋았는데.	2	2	2	2	2	2	2	2	2	2
승진에서 밀려났어.	2	2	2	2	2	2	2	2	2	2
어머 어떻게 그렇게 됐어?	2	2	2	2	2	2	2	2	2	2
경력이 부족해서 그래.	2	2	2	2	2	2	2	2	2	2
할 수 없지.	2	2	2	2	2	2	2	2	2	2
알아.	2	2	2	2	2	2	2	2	2	2
그래도 꼭 승진하고 싶었는데.	2	2	2	2	2	2	2	2	2	2
지금처럼 열심히 일하면 다음 번에는 승진할 거야.	2	2	2	2	2	2	2	2	2	2
다른 직장을 찾아볼까 하는 생각도 해.	2	2	2	2	2	2	2	2	2	2
왜?	2	2	2	2	2	2	2	2	2	2
너 지금 직장 좋다며.	2	2	2	2	2	2	2	2	2	2
도망치지 마.	2	2	2	2	2	2	2	2	2	2
네 말이 맞을 지도 몰라.	2	2	2	2	2	2	2	2	2	2
이 직장이 좋긴 정말 좋지.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
퇴근 후 저녁 먹을래?	2	2	2	2	0	2	2	2	2	2
아, 안 되는데.	2	2	2	2	2	2	2	2	2	2
나 오늘 야근이야.	2	2	2	2	2	2	2	2	2	2
우리 팀 엄청 큰 프로젝트 준비 중이거든.	2	2	0	2	2	2	2	2	2	2
아, 아쉽네.	2	2	2	2	2	2	2	2	2	2
이번 주는 매일 야근이야?	2	2	2	2	2	2	2	2	2	2
불행하게도 맞아.	2	2	2	2	2	2	2	2	2	2
프로젝트 마무리되고 다음주에 저녁 먹자!	2	2	2	2	0	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
당신이 문제를 해결할 수 있다는 것을 알고있어요.	2	2	2	2	2	2	2	2	2	2
전에는 그랬어요.	2	2	2	2	2	2	2	2	2	2
그것 봐요.	2	2	2	2	2	2	2	2	2	2
당신은 할 수 있다니까요.	2	2	2	2	2	2	2	2	2	2
그렇지만 이번에는 자신할 수가 없어요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
빌이 요즘 한창 정신 없이 분주한 것 같더라.	2	2	2	2	2	2	2	2	2	2
그렇겠지.	2	2	2	2	2	2	2	2	2	2
결혼식 날짜가 코앞에 닥쳤으니까.	2	2	2	2	2	2	2	2	2	2
맞아!	2	2	2	2	2	2	0	2	2	2
완전 깜빡 잊고 있었어.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
도시의 불빛 아래서 벗어나 교외로 드라이브 나가고 싶어.	0	2	2	2	0	2	2	2	2	2
근사한데.	2	2	2	2	2	2	2	2	2	2
하지만 어딜 가든 한 시 간은 걸릴텐데.	2	2	2	2	2	2	2	2	2	2
그렇게 초치지 마.	2	2	2	2	2	2	2	2	2	2
네 자신 깊숙이서 로맨티스트를 찾아보라구.	2	2	2	2	0	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
우리 춤춰요.	2	2	2	2	2	2	2	2	2	2
댄스 콘테스트에 나가고 싶으세요?	2	2	2	2	2	2	2	2	2	2
그럼요.	2	2	2	2	2	2	2	2	2	2
그런데 파트너가 없어요.	2	2	2	2	2	2	2	2	2	2
그래요, 저 분한테 한번 부탁해 보지 그러세요?	2	2	2	2	0	2	2	2	2	2
그럴 수 없어요, 저 사람이 누군지도 몰라요.	1	2	2	2	1	2	2	2	2	2
가서 한번 용감하게 부탁해 봐요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
맞아.	2	2	2	2	2	2	2	2	2	2
어제 밤에 내 차도 기름을 가득 넣었어.	2	2	2	2	2	2	2	2	2	2
얼마나 들었어?	2	2	2	2	2	2	2	2	2	2
25달러.	2	2	2	2	2	2	2	2	2	2
보통 그보다는 높은데 말야.	2	2	2	2	2	2	2	2	2	2
개솔린 말고 다른 연료를 찾아야하는데 말야.	2	2	2	2	2	2	2	2	2	2
그러게.	2	2	2	2	2	2	2	2	2	2
우리 연료를 중동에 의존하는 건 이제 그만해야 해.	2	2	0	2	2	2	2	2	2	2
다른 자원들을 써봐야해.	2	2	2	2	2	2	2	2	2	2
하지만 이 나라는 주유 산업이 워낙 막강해서.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
그럼 당신 내일 샌프란시스코로 비행기타고 떠나는 거지?	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
거기에 사무실을 열 거야.	2	2	2	2	2	2	2	2	2	2
비행기는 몇 시 출발이지?	2	2	2	2	2	2	2	2	2	2
7시.	2	2	2	2	2	2	2	2	2	2
그러니까 오늘 늦게까지 있을 수가 없어.	2	2	0	2	2	2	2	2	2	2
일찍 일어나야지.	2	2	0	2	2	2	2	2	2	2
부모님이 이해하실 거야.	2	2	2	2	2	2	2	2	2	2
곧 당신 부모님 저녁 초대를 해야지.	2	2	2	2	0	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
부모님을 초대한지가 꽤 됐어.	2	2	2	2	2	2	2	2	2	2
당신 아버님이 곧 은퇴하시지 않아?	2	2	2	2	2	2	2	2	2	2
그래 6월에.	2	2	2	2	2	2	2	2	2	2
그럼 은퇴기념 파티를 열어드려야겠네.	2	2	2	2	0	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
안녕 에스더, 잘 있었어요?	2	2	2	2	2	2	2	2	2	2
그저 그래요.	2	2	2	2	2	2	2	2	2	2
무슨 일이에요?	2	2	2	2	2	2	2	2	2	2
우리 아들때문에요.	2	2	2	2	2	2	2	2	2	2
방청소를 시킬 수가 없네요.	2	2	2	2	2	2	2	2	2	2
항상 어지럽히고 다니나요?	2	2	2	2	2	2	2	2	2	2
엉망진창인게 폭탄이라도 떨어진 것같아요.	2	2	2	2	2	2	2	2	2	2
무슨 얘긴지 나도 잘 안답니다.	2	2	2	2	2	2	2	2	2	2
아들 둘을 두셨으니까 물론 잘 아실 거에요.	2	2	2	2	2	2	2	2	2	2
걔들에게 방청소시키는 게 마치 쇠뿔 잡아당기는 것 같이 힘들답니다.	2	2	2	2	2	2	2	2	0	2
어떻게 해야 할지 모르겠어요.	2	2	1	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
빗발이 누그러진 것 같네.	2	2	2	2	2	2	2	2	2	2
잘 됐네.	2	2	2	2	2	2	2	2	2	2
산책 나갈까.	0	2	2	2	2	2	2	2	2	2
기다리자.	2	2	2	2	2	2	2	2	2	2
아직 비가 그친 건 아니잖아.	2	2	2	2	2	2	2	2	2	2
그러지 말고 나가자.	2	2	2	2	2	2	2	2	2	2
비옷도 새로 샀는데 비 올 때 외출해도 되잖아.	0	2	2	2	2	2	2	2	2	2
데니 난 비 맞으면서 걷기 싫어.	1	2	2	2	2	2	2	2	2	2
그래도 난 뭐라도 해야 돼.	2	2	2	2	2	2	2	2	2	2
우리 사흘 동안이나 집에 갇혀 있잖아.	2	2	2	2	2	2	2	2	2	2
비가 그치는 동안 집안 청소하는 거 도와주면 되잖아.	2	2	2	2	2	2	2	2	2	2
집 청소할 기분 아니야.	2	2	2	2	2	2	2	2	2	2
